,a1,a2,iter,logZ,magnetization,logZ_diff,magnetization_diff,magnetization_per_layer,ws_diff_total,ws_diff,ws_diff_normalized
0,0.0,1.779,1.0,1.1728111577930973,1.4582605936282573,1.1728111577930973,1.4582605936282573,"[9.40184100e-17 2.12100177e-05 3.27106737e-01 5.68322580e-01
 9.14321332e-01 1.07702922e+00 1.27359515e+00 1.38527383e+00
 1.42097411e+00 1.44504191e+00 1.45575383e+00 1.46023318e+00
 1.45885939e+00 1.45840846e+00 1.45834096e+00 1.45828873e+00
 1.45827091e+00 1.45826674e+00 1.45826051e+00 1.45826059e+00]",0.05713395003964831,"[0.01186926 0.06654685 1.63476584 2.20413391 2.34921911 2.45593092
 2.35517432 2.49378394 2.35638214 2.55305044 2.39447142 2.74917961
 2.64534647 2.97756228 2.70052377 3.02007345 2.75563507 3.11675486
 2.99421256 3.28263241]","[1.18692616e-02 3.32734246e-02 4.08691459e-01 2.75516739e-01
 1.46826194e-01 7.67478413e-02 3.67995987e-02 1.94826870e-02
 9.20461774e-03 4.98642664e-03 2.33835099e-03 1.34237286e-03
 6.45836540e-04 3.63471958e-04 1.64826890e-04 9.21653274e-05
 4.20476543e-05 2.37789525e-05 1.14220145e-05 6.26112444e-06]"
1,0.0,1.779,2.0,1.1733031533932243,1.391277639590828,0.0004919956001270265,0.06698295403742938,"[1.95503115e-16 5.59186803e-09 2.27590982e-01 3.85635229e-01
 6.88227021e-01 8.57489595e-01 1.05864076e+00 1.18268770e+00
 1.29247331e+00 1.36547101e+00 1.38709530e+00 1.39134747e+00
 1.39135240e+00 1.39133269e+00 1.39130085e+00 1.39128946e+00
 1.39128224e+00 1.39128079e+00 1.39127712e+00 1.39127764e+00]",0.005965636698906648,"[0.00426051 0.00518181 0.0244389  0.36559749 0.18098598 0.27861567
 0.5695296  1.13827345 1.47010481 1.41828359 1.3557753  1.24051982
 0.91983086 1.2914652  0.69597881 0.63377428 1.0282426  1.11124523
 1.10358254 2.58333378]","[4.26050997e-03 2.59090530e-03 6.10972440e-03 4.56996864e-02
 1.13116237e-02 8.70673955e-03 8.89890006e-03 8.89276134e-03
 5.74259692e-03 2.77008513e-03 1.32399932e-03 6.05722570e-04
 2.24568081e-04 1.57649561e-04 4.24791757e-05 1.93412560e-05
 1.56897370e-05 8.47812826e-06 4.20983331e-06 4.92731815e-06]"
2,0.0,1.779,3.0,1.1733383336967087,1.376357149040572,3.518030348437229e-05,0.014920490550256016,"[2.67916083e-16 1.32568805e-08 1.89812387e-01 3.39096712e-01
 6.29997485e-01 7.95846819e-01 1.00070591e+00 1.13296993e+00
 1.25423902e+00 1.34029066e+00 1.37045067e+00 1.37628867e+00
 1.37648668e+00 1.37644877e+00 1.37639726e+00 1.37637792e+00
 1.37636868e+00 1.37636233e+00 1.37635763e+00 1.37635715e+00]",0.0006105316749450169,"[2.10419445e-03 2.80316518e-03 9.98756881e-03 1.10516490e-02
 8.38269661e-03 2.54981546e-02 1.94103559e-02 8.25436589e-02
 8.42222356e-02 4.56173552e-02 2.37314698e-02 9.96627980e-01
 9.20736177e-01 9.00322084e-01 9.39006882e-01 2.87068825e-01
 4.21157291e-01 1.91247936e-01 1.07558068e+00 2.22416502e+00]","[2.10419445e-03 1.40158259e-03 2.49689220e-03 1.38145613e-03
 5.23918538e-04 7.96817331e-04 3.03286812e-04 6.44872335e-04
 3.28993108e-04 8.90963968e-05 2.31752635e-05 4.86634756e-04
 2.24789106e-04 1.09902598e-04 5.73124318e-05 8.76064529e-06
 6.42635026e-06 1.45910596e-06 4.10301468e-06 4.24225812e-06]"
3,0.0,1.779,4.0,1.1733444574987435,1.3745474218609846,6.123802034796455e-06,0.0018097271795873837,"[2.71035962e-16 1.35022938e-08 1.54855139e-01 3.06897139e-01
 6.10285738e-01 7.77126454e-01 9.86791718e-01 1.12211000e+00
 1.24702201e+00 1.33564022e+00 1.36808555e+00 1.37442559e+00
 1.37468820e+00 1.37465215e+00 1.37458852e+00 1.37457878e+00
 1.37456047e+00 1.37455063e+00 1.37454846e+00 1.37454742e+00]",0.0003199275084686977,"[8.30541202e-04 1.06266066e-03 1.08904869e-02 3.97733736e-03
 2.53219721e-03 2.57762974e-02 1.41599530e-03 1.30364979e-02
 1.68217488e-03 1.67885994e-02 5.02977378e-04 4.58673330e-03
 5.15615146e-04 1.29209034e-01 1.31043506e-03 6.75828435e-01
 5.06101817e-01 3.76557472e-01 5.96548526e-01 2.82019649e+00]","[8.30541202e-04 5.31330328e-04 2.72262173e-03 4.97167170e-04
 1.58262326e-04 8.05509293e-04 2.21249266e-05 1.01847640e-04
 6.57099562e-06 3.27902332e-05 4.91188845e-07 2.23961587e-06
 1.25882604e-07 1.57725871e-05 7.99826084e-08 2.06246471e-05
 7.72250087e-06 2.87290552e-06 2.27565203e-06 5.37909791e-06]"
4,0.0,1.779,5.0,1.1733481739154392,1.3730946643415274,3.716416695720426e-06,0.0014527575194571707,"[1.36101608e-16 1.12643479e-08 1.16464661e-01 2.65721873e-01
 5.91359680e-01 7.61693677e-01 9.76541854e-01 1.11441827e+00
 1.24215784e+00 1.33241180e+00 1.36626314e+00 1.37294395e+00
 1.37323540e+00 1.37320278e+00 1.37313802e+00 1.37312405e+00
 1.37310671e+00 1.37309889e+00 1.37309584e+00 1.37309466e+00]",0.00022948366853554707,"[2.98378353e-04 3.57334990e-04 1.21288623e-02 2.65398730e-03
 2.27829285e-03 3.25156104e-03 1.04159350e-03 1.56190627e-03
 1.68734622e-04 3.34196792e-03 1.29724716e-04 6.59499824e-04
 2.42053274e-04 6.49222307e-04 1.81443331e-04 1.21184730e-01
 4.46585922e-03 7.42310704e-01 1.29271406e+00 2.36030498e+00]","[2.98378353e-04 1.78667495e-04 3.03221558e-03 3.31748413e-04
 1.42393303e-04 1.01611283e-04 1.62748985e-05 1.22023927e-05
 6.59119618e-07 6.52728108e-06 1.26684292e-07 3.22021398e-07
 5.90950376e-08 7.92507699e-08 1.10744220e-08 3.69826447e-06
 6.81436038e-08 5.66338123e-06 4.93131278e-06 4.50192448e-06]"
5,0.0,1.779,6.0,1.1733526585258849,1.3693476998634295,4.4846104456652824e-06,0.0037469644780978584,"[4.08928649e-16 8.27293826e-09 8.61167504e-02 2.15275594e-01
 5.68861818e-01 7.44464556e-01 9.64469905e-01 1.10451796e+00
 1.23473396e+00 1.32669408e+00 1.36208318e+00 1.36916061e+00
 1.36948666e+00 1.36945798e+00 1.36939208e+00 1.36937623e+00
 1.36935916e+00 1.36935196e+00 1.36935123e+00 1.36934770e+00]",0.00021165934550048985,"[1.04147204e-04 1.19817318e-04 1.01300473e-02 6.31043172e-03
 2.72529937e-03 4.26428331e-03 7.72082799e-04 8.74813670e-04
 8.17888974e-05 6.49038291e-04 7.40309856e-05 4.42580452e-04
 1.97915169e-04 5.42462754e-05 1.63379692e-04 5.03618807e-04
 8.31553363e-04 5.20667757e-03 9.61690671e-01 2.53361123e+00]","[1.04147204e-04 5.99086590e-05 2.53251182e-03 7.88803965e-04
 1.70331210e-04 1.33258854e-04 1.20637937e-05 6.83448179e-06
 3.19487880e-07 1.26765291e-06 7.22958843e-08 2.16103736e-07
 4.83191330e-08 6.62185979e-09 9.97190503e-09 1.53692263e-08
 1.26884974e-08 3.97237974e-08 3.66855877e-06 4.83247991e-06]"
6,0.0,1.779,7.0,1.1733580249741387,1.36424158934908,5.366448253774081e-06,0.0051061105143495045,"[1.36383252e-16 5.06566984e-09 6.95495128e-02 1.55060803e-01
 5.40383874e-01 7.23946216e-01 9.49611189e-01 1.09200518e+00
 1.22492535e+00 1.31909669e+00 1.35641389e+00 1.36400635e+00
 1.36438023e+00 1.36435650e+00 1.36428872e+00 1.36427112e+00
 1.36425419e+00 1.36424653e+00 1.36424309e+00 1.36424159e+00]",0.0002633040881463014,"[3.66571275e-05 4.25537452e-05 8.64716489e-03 1.59406667e-02
 2.16984780e-03 1.16595652e-02 6.73268102e-04 1.96204404e-03
 1.21147337e-04 2.74977837e-04 8.52001470e-05 2.84129650e-04
 2.04530925e-04 3.21877044e-05 1.62023696e-04 1.71647550e-04
 1.35343345e-03 2.35534472e-03 1.29327332e-01 2.58967276e+00]","[3.66571275e-05 2.12768726e-05 2.16179122e-03 1.99258333e-03
 1.35615488e-04 3.64361412e-04 1.05198141e-05 1.53284691e-05
 4.73231784e-07 5.37066088e-07 8.32032686e-08 1.38735181e-07
 4.99343078e-08 3.92916314e-09 9.88914163e-09 5.23826752e-09
 2.06517555e-08 1.79698542e-08 4.93344619e-07 4.93940879e-06]"
7,0.0,1.779,8.0,1.1733624944824548,1.3591047008992796,4.469508316118365e-06,0.005136888449800425,"[1.36409432e-16 1.92390873e-09 5.91256724e-02 1.00200003e-01
 5.07301442e-01 7.00248841e-01 9.32062279e-01 1.07738927e+00
 1.21374268e+00 1.31083525e+00 1.35056007e+00 1.35880732e+00
 1.35924458e+00 1.35922724e+00 1.35915691e+00 1.35913644e+00
 1.35911950e+00 1.35911114e+00 1.35910802e+00 1.35910470e+00]",0.00024157465189458534,"[1.30256518e-05 1.49012489e-05 7.16963022e-03 1.43325928e-02
 2.48427585e-03 1.73641924e-02 7.45716619e-04 4.01774826e-03
 1.68990094e-04 1.87398162e-04 1.06853465e-04 1.61398208e-04
 2.24508050e-04 6.20823355e-05 1.66030156e-04 6.03246721e-03
 1.05323731e-02 1.73074799e-01 1.21667363e+00 2.49425462e+00]","[1.30256518e-05 7.45062445e-06 1.79240755e-03 1.79157410e-03
 1.55267240e-04 5.42631012e-04 1.16518222e-05 3.13886583e-05
 6.60117555e-07 3.66012036e-07 1.04349087e-07 7.88077189e-08
 5.48115357e-08 7.57841010e-09 1.01336765e-08 1.84096289e-07
 1.60711259e-07 1.32045592e-06 4.64124157e-06 4.75741313e-06]"
8,0.0,1.779,9.0,1.173366704773956,1.353943303218326,4.210291501216545e-06,0.005161397680953694,"[4.09255967e-16 2.76347142e-10 5.07456806e-02 7.62563929e-02
 4.82797254e-01 6.80209656e-01 9.15595869e-01 1.06309496e+00
 1.20258163e+00 1.30247579e+00 1.34464182e+00 1.35357439e+00
 1.35408208e+00 1.35407228e+00 1.35399936e+00 1.35397657e+00
 1.35395939e+00 1.35395140e+00 1.35394539e+00 1.35394330e+00]",0.0002134784289657742,"[4.49707104e-06 4.86715515e-06 9.02866644e-03 7.12154216e-03
 4.49507925e-03 1.12680908e-02 1.18047984e-03 4.53099979e-03
 1.76117495e-04 1.82548199e-04 1.19822483e-04 1.11722348e-04
 2.26049431e-04 7.04347063e-05 1.78645431e-04 5.51520147e-04
 2.01644922e-03 9.12457856e-03 1.11002281e+00 2.65654571e+00]","[4.49707104e-06 2.43357757e-06 2.25716661e-03 8.90192770e-04
 2.80942453e-04 3.52127838e-04 1.84449975e-05 3.53984359e-05
 6.87958965e-07 3.56539452e-07 1.17014144e-07 5.45519279e-08
 5.51878493e-08 8.59798661e-09 1.09036518e-08 1.68310592e-08
 3.07685733e-08 6.96150098e-08 4.23440099e-06 5.06695882e-06]"
9,0.0,1.779,10.0,1.173370444114026,1.3490859760882221,3.7393400700302948e-06,0.0048573271301037835,"[0.00000000e+00 2.30146762e-10 4.52420573e-02 6.78367935e-02
 4.67065740e-01 6.64388982e-01 9.01656972e-01 1.05040244e+00
 1.19234587e+00 1.29462436e+00 1.33905089e+00 1.34863976e+00
 1.34921955e+00 1.34921802e+00 1.34914304e+00 1.34911734e+00
 1.34910050e+00 1.34909261e+00 1.34908633e+00 1.34908598e+00]",0.0002184871351016308,"[1.53243350e-06 1.53381059e-06 4.50445729e-03 1.56308326e-02
 7.86014195e-03 9.53154182e-03 2.60071607e-03 2.42677941e-03
 1.44258150e-04 1.57805436e-04 9.85481402e-05 7.66699068e-05
 1.90242121e-04 4.75821050e-05 1.46537239e-04 1.79285140e-03
 2.27482931e-03 8.25387694e-02 1.72197254e+00 2.32345656e+00]","[1.53243350e-06 7.66905296e-07 1.12611432e-03 1.95385407e-03
 4.91258872e-04 2.97860682e-04 4.06361885e-05 1.89592142e-05
 5.63508398e-07 3.08213743e-07 9.62384182e-08 3.74364780e-08
 4.64458303e-08 5.80836242e-09 8.94392328e-09 5.47134826e-08
 3.47111406e-08 6.29720836e-07 6.56880393e-06 4.43164169e-06]"
