,a1,a2,iter,logZ,magnetization
0,0.0,1.779,5.0,1.1736221,0.15956262
1,0.0,1.779,10.0,1.1737837,0.054889802
2,0.0,1.779,15.0,1.17379,0.020808073
3,0.0,1.779,20.0,1.1737916,0.005831513
4,0.0,1.779,25.0,1.1737951,0.0012310029
5,0.0,1.779,30.0,1.1738224,0.0022224819
6,0.0,1.779,35.0,1.1737778,0.0026052946
7,0.0,1.779,40.0,1.1737841,0.003672408
8,0.0,1.779,45.0,1.1737918,0.0013900258
9,0.0,1.779,50.0,1.1737915,0.0021007292
10,0.0,1.779,55.0,1.1737813,0.004784656
