,beta,h,logZ,magnetization,logZ_diff,magnetization_diff,magnetization_per_layer,ws_diff_total,ws_diff,ws_diff_normalized,iter,elapsed
0,0.46,0.0,0.9588713222171595,0.8147048195676395,0.9588713222171595,0.8147048195676395,"[1.09501977e-16 8.30096905e-17 1.65142315e-15 3.98493154e-15
 6.97976635e-04 3.25425708e-03 7.99901201e-02 1.51824295e-01
 6.10134332e-01 7.93472430e-01 8.13843429e-01 8.14700837e-01
 8.14711297e-01 8.14712331e-01 8.14707686e-01 8.14705642e-01
 8.14704735e-01 8.14705019e-01 8.14704924e-01 8.14704820e-01]",0.011799699212581779,"[0.         0.         0.         0.         0.9679408  2.13160886
 2.72194627 2.7892189  2.61660615 2.78340453 2.70406087 2.82927138
 2.5860767  2.72311687 2.7923039  2.85981904 2.65712654 2.97279732
 2.9290327  3.07522922]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.04962998e-02 6.66127768e-02 4.25304105e-02 2.17907726e-02
 1.02211178e-02 5.43633697e-03 2.64068444e-03 1.38148017e-03
 6.31366381e-04 3.32411728e-04 1.70428705e-04 8.72747509e-05
 4.05445334e-05 2.26806436e-05 1.11733730e-05 5.86553425e-06]",1.0,4.392277479171753
1,0.46,0.0,0.9588714125383253,0.8146387919430003,9.03211657687919e-08,6.602762463925327e-05,"[1.09501977e-16 8.30096905e-17 1.65142315e-15 3.98493154e-15
 7.13168592e-05 1.44152369e-04 1.77227045e-03 3.18160906e-03
 6.32549337e-02 1.78950505e-01 8.08110507e-01 8.14644493e-01
 8.14643854e-01 8.14641710e-01 8.14640209e-01 8.14639230e-01
 8.14638945e-01 8.14638860e-01 8.14638879e-01 8.14638792e-01]",0.0005996298113152412,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.60198399e-04 5.54384682e-02 6.70570819e-02 1.61052116e-01
 5.92143237e-01 1.08318736e+00 1.19141530e+00 1.24883452e+00
 1.01975284e+00 1.01817754e+00 1.03145128e+00 1.00260686e+00
 1.43956977e+00 1.36725459e+00 1.13490001e+00 2.66616146e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.37624000e-05 1.73245213e-03 1.04776690e-03 1.25821966e-03
 2.31305952e-03 2.11560032e-03 1.16349151e-03 6.09782481e-04
 2.48963096e-04 1.24289250e-04 6.29547900e-05 3.05971330e-05
 2.19660914e-05 1.04313247e-05 4.32929996e-06 5.08529942e-06]",2.0,5.108377933502197
2,0.46,0.0,0.9588714125540989,0.8146383714667065,1.5773604644664374e-11,4.204762937831674e-07,"[1.09501977e-16 8.30096905e-17 1.65142315e-15 3.98493154e-15
 8.68452856e-05 1.62675161e-04 1.75061487e-03 3.63769685e-03
 5.51933803e-02 1.60484439e-01 8.00672332e-01 8.14631038e-01
 8.14638408e-01 8.14640529e-01 8.14639763e-01 8.14638815e-01
 8.14638621e-01 8.14638556e-01 8.14638474e-01 8.14638371e-01]",7.72397763623397e-05,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.09631597e-04 6.28044128e-03 2.70635074e-02 9.44480848e-02
 3.56049657e-03 4.52077594e-03 4.54328307e-04 3.74333421e-04
 3.20075809e-04 1.03991461e-03 3.12775492e-03 9.32181286e-03
 4.73127911e-03 3.06746779e-01 1.16921873e+00 3.12555058e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.85197480e-06 1.96263790e-04 4.22867303e-04 7.37875663e-04
 1.39081897e-05 8.82964051e-06 4.43679987e-07 1.82779991e-07
 7.81435080e-08 1.26942702e-07 1.90903010e-07 2.84479152e-07
 7.21935900e-08 2.34029220e-06 4.46021550e-06 5.96151463e-06]",3.0,4.332789659500122
3,0.46,0.0,0.9588714125892769,0.8146383236481776,3.51779716467604e-11,4.7818528914334024e-08,"[1.09501977e-16 8.30096905e-17 1.65142315e-15 3.98493154e-15
 1.03375869e-04 1.77464539e-04 1.77448936e-03 3.79745288e-03
 5.51475822e-02 1.60215295e-01 8.00678620e-01 8.14630939e-01
 8.14638374e-01 8.14640589e-01 8.14640082e-01 8.14638952e-01
 8.14638493e-01 8.14638494e-01 8.14638426e-01 8.14638324e-01]",1.464762266405456e-05,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.23834047e-05 1.83379089e-03 6.67464878e-03 1.01753714e-02
 1.91941226e-03 4.08204028e-03 1.70837944e-04 3.68970177e-04
 5.71148031e-04 1.10963243e-03 4.68428968e-03 6.57783274e-03
 2.62692166e-02 5.71465507e-02 9.87001945e-01 2.99869612e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.14896279e-06 5.73059654e-05 1.04291387e-04 7.94950889e-05
 7.49770412e-06 7.97273492e-06 1.66833930e-07 1.80161219e-07
 1.39440437e-07 1.35453177e-07 2.85906353e-07 2.00739525e-07
 4.00836435e-07 4.35993582e-07 3.76511362e-06 5.71955895e-06]",4.0,4.220250606536865
4,0.46,0.0,0.9588714125978748,0.8146383530220671,8.5979001696046e-12,2.9373889542938514e-08,"[1.09501977e-16 8.30096905e-17 1.65142315e-15 3.98493154e-15
 1.13294247e-04 1.84191168e-04 1.77105622e-03 3.81362926e-03
 5.51527107e-02 1.60140347e-01 8.00690967e-01 8.14630999e-01
 8.14638282e-01 8.14640853e-01 8.14640487e-01 8.14639277e-01
 8.14638648e-01 8.14638519e-01 8.14638452e-01 8.14638353e-01]",2.47532834841569e-06,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.97779426e-05 3.07321765e-04 2.97227506e-04 1.95817901e-03
 1.44463175e-03 2.97945871e-03 1.52252500e-04 3.07109818e-04
 4.83259288e-04 2.75470497e-03 5.11466360e-03 1.45591345e-02
 1.87420362e-03 1.94261112e-02 9.88702052e-01 2.74958227e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.86112142e-06 9.60380516e-06 4.64417979e-06 1.52982735e-05
 5.64309277e-06 5.81925529e-06 1.48684082e-07 1.49955966e-07
 1.17983225e-07 3.36267696e-07 3.12174292e-07 4.44309525e-07
 2.85980777e-08 1.48209467e-07 3.77159901e-06 5.24441198e-06]",5.0,4.918723106384277
5,0.46,0.0,0.9588714125788411,0.814638369960819,1.9033663534173684e-11,1.693875184560767e-08,"[1.09501977e-16 8.30096905e-17 1.65142315e-15 3.98493154e-15
 1.18665572e-04 1.86924193e-04 1.76896908e-03 3.81338428e-03
 5.50344080e-02 1.59728492e-01 8.00573804e-01 8.14630533e-01
 8.14638207e-01 8.14641458e-01 8.14640693e-01 8.14639182e-01
 8.14638716e-01 8.14638546e-01 8.14638444e-01 8.14638370e-01]",7.021997055358464e-07,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.60478745e-06 4.09091270e-05 9.96279437e-06 3.47993205e-04
 9.20635778e-04 1.26324502e-03 8.36724598e-05 4.92909098e-04
 4.03796015e-04 7.06787404e-03 4.16798727e-03 3.58153441e-03
 2.45227117e-04 3.07134607e-02 1.18766055e+00 2.80047050e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.37799216e-07 1.27841022e-06 1.55668662e-07 2.71869691e-06
 3.59623351e-06 2.46727543e-06 8.17113866e-08 2.40678270e-07
 9.85830115e-08 8.62777592e-07 2.54393754e-07 1.09299756e-07
 3.74186885e-09 2.34325109e-07 4.53056544e-06 5.34147358e-06]",6.0,4.2824952602386475
