,a1,a2,a3,logZ,MX,sqrtM2X,MX_average,sqrtM2X_average,MY,sqrtM2Y,MY_average,sqrtM2Y_average,MZ,sqrtM2Z,MZ_average,sqrtM2Z_average
0,1.1547005383792515,1.8257418583505538,4.3,3.023537627486287,-0.5367025468325995,0.5367025468325989,-0.5078350691984062,0.5078350691984057,-0.003060644563662191,-0.48888620541065875,-0.0028963555118934415,-0.4626438079347711,8.074289379742176e-17,7.825991427918148e-17,5.487769556666728e-17,5.4877701441099636e-17
1,1.1547005383792515,1.8257418583505538,4.3999999999999995,3.0271290790868632,-0.492135533339509,0.4921355333394006,-0.46356102515255976,0.46356102515253056,0.02174355576057243,-0.4034421866893377,0.020484337775569673,-0.38007794652128496,-2.1233904935516258e-16,2.1089106894759463e-16,-5.1993344315267536e-17,5.199308190392814e-17
2,1.1547005383792515,1.8257418583505538,4.5,3.04374849469761,-3.580414769452162e-14,3.580414769452162e-14,-3.5579161852806056e-14,3.5579161852806056e-14,8.393498387950903e-17,8.393498387950903e-17,3.666533493649176e-30,3.666533493649176e-30,-1.859710398387142,1.859710398387142,-1.854003407050797,1.854003407050797
3,1.1547005383792515,1.8257418583505538,4.6,3.0866381287379956,1.3804519987129719e-15,1.3804519987129719e-15,1.514204017924298e-15,1.514204017924298e-15,-8.981925605266886e-17,8.981925605266886e-17,1.3597917742591132e-29,1.3597917742591132e-29,2.1842549441731234,2.1842549441731234,2.1821721364570865,2.1821721364570865
4,1.1547005383792515,1.8257418583505538,4.7,3.1264517982615674,6.752497773940843e-16,6.752497773940843e-16,5.435647481517864e-16,5.435647481517864e-16,1.8904033607342206e-17,1.8904033607342206e-17,-1.1275119525286404e-31,1.1275119525286404e-31,2.334785111924775,2.334785111924775,2.3337661568762496,2.3337661568762496
5,1.1547005383792515,1.8257418583505538,4.8,3.1651156911988387,6.383169390390355e-17,6.383169390390355e-17,-1.1119898396832087e-17,1.1119898396832087e-17,8.491660445842882e-17,8.491660445842882e-17,-6.418670864711581e-31,6.418670864711581e-31,-2.4365443254860772,2.4365443254860772,-2.436124724478641,2.436124724478641
6,1.1547005383792515,1.8257418583505538,4.9,3.203195562924782,-2.628014130468355e-17,4.992890743012786e-17,-2.5939798533581966e-17,1.7801989690066275e-16,-5.707461165821632e-18,1.304891889705652e-17,1.95968456180139e-30,1.9607239798994725e-30,0.2130282469693667,2.513563663726067,0.21301319094572313,2.513386014637318
7,1.1547005383792515,1.8257418583505538,5.0,3.2408388940486983,-1.2817638300346994e-16,1.2896796361758526e-16,1.7534158112722156e-19,1.6303433364466863e-19,-2.560931649883266e-17,2.58472452289847e-17,9.907495352159267e-31,9.904000025276035e-31,2.559726045009266,2.5751163775886288,2.55964408375059,2.575033923538534
8,1.1547005383792515,1.8257418583505538,5.1,3.2780625361358102,-1.7176911513462088e-16,1.7176911513462088e-16,-1.8245727234685179e-16,1.8245727234685179e-16,6.8647506498885e-17,6.8647506498885e-17,1.9090370665075596e-30,1.9090370665075596e-30,-2.625676261989733,2.625676261989733,-2.625634371781659,2.625634371781659
9,1.1547005383792515,1.8257418583505538,5.2,3.3148742755273317,-5.2370377827132446e-17,5.2370377827132446e-17,-2.813875138087724e-17,2.813875138087724e-17,1.2571208841319211e-17,1.2571208841319211e-17,4.054287458766662e-31,4.054287458766662e-31,2.6679627446579124,2.6679627446579124,2.6679398174609195,2.6679398174609195
10,1.1547005383792515,1.8257418583505538,5.3,3.351271943368582,1.319093521896347e-17,1.319093521896347e-17,3.099723891517811e-17,3.099723891517811e-17,4.7011318673027176e-17,4.7011318673027176e-17,2.597739996729448e-32,2.597739996729448e-32,-2.703839894955825,2.703839894955825,-2.703826597223871,2.703826597223871
