,beta,h,logZ,magnetization,logZ_diff,magnetization_diff,magnetization_per_layer,ws_diff_total,ws_diff,ws_diff_normalized,iter,elapsed
0,0.42,0.0,0.9026365324006742,0.000955639515145721,0.9026365324006742,0.000955639515145721,"[3.81995224e-17 1.69635902e-16 1.26007241e-15 2.65502367e-15
 6.39177956e-04 2.11357376e-04 6.37127818e-04 1.67669749e-03
 2.27475433e-03 1.32216593e-03 1.69010503e-03 1.01432150e-03
 1.02767254e-03 1.04161378e-03 1.00642202e-03 9.47127820e-04
 9.46398866e-04 9.50707151e-04 9.52338698e-04 9.55639515e-04]",0.011018246239130778,"[0.         0.         0.         0.         1.16105228 1.56913882
 2.25901117 2.519645   2.62962729 2.94169406 2.76103596 3.07731278
 3.10549835 3.172543   3.23453283 3.48127703 3.48344158 3.49166468
 3.60449539 3.71632983]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.25657678e-02 4.90355880e-02 3.52970495e-02 1.96847266e-02
 1.02719816e-02 5.74549622e-03 2.69632418e-03 1.50259413e-03
 7.58178309e-04 3.87273315e-04 1.97420217e-04 1.06240144e-04
 5.31531003e-05 2.66392874e-05 1.37500587e-05 7.08833661e-06]",1.0,4.248762607574463
1,0.42,0.0,0.9026392072031507,1.7212501696833408e-06,2.6748024765099743e-06,0.0009539182649760376,"[3.81995224e-17 1.69635902e-16 1.26007241e-15 2.65502367e-15
 2.15864761e-05 5.26837353e-06 5.36787403e-05 2.14269139e-05
 1.71208052e-05 4.24280865e-05 8.60255442e-05 1.03104418e-05
 2.28138507e-07 2.21752356e-06 2.33013387e-06 1.59779350e-06
 2.30706709e-06 4.34405147e-06 5.21915008e-06 1.72125017e-06]",0.0009987262525062433,"[0.         0.         0.         0.         0.17046023 0.11378494
 0.00713632 0.04400424 0.05909922 0.67888815 0.9770383  0.69458985
 1.01242838 0.9591035  1.00479569 0.6393881  1.00316664 0.22759383
 1.06387076 2.96179095]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.06537641e-02 3.55577953e-03 1.11504961e-04 3.43783138e-04
 2.30856344e-04 1.32595341e-03 9.54138967e-04 3.39155198e-04
 2.47174897e-04 1.17078064e-04 6.13278622e-05 1.95125762e-05
 1.53071082e-05 1.73640314e-06 4.05834487e-06 5.64916792e-06]",2.0,4.278136968612671
2,0.42,0.0,0.9026392076669963,4.045911123625575e-07,4.638456285732673e-10,1.3166590573207833e-06,"[3.81995224e-17 1.69635902e-16 1.26007241e-15 2.65502367e-15
 4.45448490e-06 2.02464440e-07 9.59298937e-06 2.22874897e-06
 2.82322637e-05 2.46772446e-06 7.58459831e-06 9.03663134e-07
 4.00017146e-07 1.82687044e-07 1.43837276e-07 3.24575317e-07
 2.14943563e-07 1.58961180e-06 2.94370434e-07 4.04591112e-07]",2.7273359341986866e-05,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.57227036e-03 1.08453451e-03 4.76701490e-03 9.93764104e-03
 9.78541976e-04 3.02263548e-03 1.45255693e-03 1.35451691e-03
 2.08720127e-03 8.84786668e-04 1.26553327e-03 2.60754634e-03
 1.68919984e-02 8.25934481e-01 1.51901951e+00 3.02853610e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.85766898e-04 3.38917035e-05 7.44846078e-05 7.76378206e-05
 3.82242959e-06 5.90358493e-06 1.41851263e-06 6.61385210e-07
 5.09570623e-07 1.08006185e-07 7.72420206e-08 7.95759991e-08
 2.57751440e-07 6.30138001e-06 5.79459956e-06 5.77647419e-06]",3.0,4.376897573471069
3,0.42,0.0,0.9026392082655189,1.3075068383433389e-06,5.985225648430514e-10,9.029157259807814e-07,"[3.81995224e-17 1.69635902e-16 1.26007241e-15 2.65502367e-15
 9.14275938e-07 8.73963078e-08 6.19872095e-06 2.17120290e-06
 1.84644682e-05 3.84007215e-06 6.08749042e-06 6.49740283e-07
 5.79281846e-08 6.05411610e-08 6.81019819e-08 7.11419809e-08
 1.05440390e-07 6.90284568e-08 2.04803150e-06 1.30750684e-06]",1.4766348202387944e-05,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.25690513e-04 4.79813499e-05 7.93225684e-03 1.24097927e-02
 6.81582657e-04 3.97467387e-03 2.61183634e-03 1.42687784e-03
 3.55701393e-03 1.04485292e-03 2.25784523e-03 1.94343035e-03
 1.19937650e-01 1.31322558e-02 8.95353825e-01 2.43869018e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.66056571e-05 1.49941718e-06 1.23941513e-04 9.69515056e-05
 2.66243226e-06 7.76303491e-06 2.55062143e-06 6.96717694e-07
 8.68411604e-07 1.27545523e-07 1.37807936e-07 5.93087875e-08
 1.83010330e-06 1.00191160e-07 3.41550379e-06 4.65143239e-06]",4.0,4.55769157409668
4,0.42,0.0,0.9026392084002562,4.594744412223538e-07,1.3473733240232377e-10,8.480323971209851e-07,"[3.81995224e-17 1.69635902e-16 1.26007241e-15 2.65502367e-15
 2.49311525e-07 4.58395829e-08 2.17069409e-06 8.11635671e-07
 7.11376850e-06 3.56143524e-07 2.13076838e-06 1.71341207e-07
 8.46062204e-08 3.69613862e-08 4.69019449e-08 4.43258978e-09
 5.91503366e-08 1.62140467e-07 1.67124286e-07 4.59474441e-07]",1.4247843035776385e-05,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.87453208e-05 7.30337516e-06 9.41638678e-03 9.77549609e-03
 1.53703431e-03 3.75169060e-03 2.98174891e-03 8.11045175e-04
 2.33852515e-03 6.40093402e-04 8.19238885e-03 7.27777880e-04
 1.82549781e-01 7.81585483e-01 1.13272227e+00 2.75373603e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.17158255e-06 2.28230474e-07 1.47131043e-04 7.63710632e-05
 6.00404026e-06 7.32752069e-06 2.91186417e-06 3.96018152e-07
 5.70928991e-07 7.81364016e-08 5.00023733e-07 2.22100183e-08
 2.78548860e-06 5.96302401e-06 4.32099253e-06 5.25233465e-06]",5.0,4.100205183029175
5,0.42,0.0,0.9026392085566468,4.272657812942376e-07,1.5639056716310051e-10,3.2208659928116236e-08,"[3.81995224e-17 1.69635902e-16 1.26007241e-15 2.65502367e-15
 5.36836570e-08 1.66445303e-08 6.74417458e-07 3.37520008e-07
 2.41448566e-06 7.41472213e-07 8.06963277e-07 3.39700593e-09
 1.24666152e-08 1.53485794e-09 1.21676849e-08 8.30031352e-09
 2.28428911e-08 1.48869235e-07 1.94953882e-07 4.27265781e-07]",8.681702136056828e-06,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.69280618e-05 1.65227433e-06 6.26065817e-03 4.61897979e-03
 1.98875696e-03 1.91468779e-03 2.29444310e-03 4.01743874e-04
 1.62231173e-03 2.41906991e-04 6.23033489e-04 1.22185956e-03
 2.67261048e-02 7.56767132e-01 1.48438119e+00 2.92583143e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.68300386e-06 5.16335728e-08 9.78227839e-05 3.60857796e-05
 7.76858187e-06 3.73962459e-06 2.24066709e-06 1.96164001e-07
 3.96072200e-07 2.95296620e-08 3.80269464e-08 3.72881945e-08
 4.07807995e-07 5.77367502e-06 5.66246487e-06 5.58058057e-06]",6.0,4.437464475631714
