,beta,h,logZ,magnetization,logZ_diff,magnetization_diff,magnetization_per_layer,ws_diff_total,ws_diff,ws_diff_normalized,iter,elapsed
0,0.5,0.0,1.0257927960764879,0.9113195527717349,1.0257927960764879,0.9113195527717349,"[1.14158513e-16 4.49158905e-16 1.57827604e-16 1.32088036e-15
 1.20322254e-02 2.36689729e-02 5.47252012e-01 8.18782670e-01
 9.11157289e-01 9.11319428e-01 9.11319697e-01 9.11319749e-01
 9.11319622e-01 9.11319567e-01 9.11319553e-01 9.11319564e-01
 9.11319564e-01 9.11319559e-01 9.11319554e-01 9.11319553e-01]",0.012565964306883245,"[0.         0.         0.         0.         1.20596239 2.14950993
 2.67248857 2.80467314 2.43069128 2.73867523 2.5495917  2.71125475
 2.74291949 2.67554582 2.8094051  2.69452431 2.9259526  2.78065262
 2.88172195 3.32707734]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.53726494e-02 6.71721852e-02 4.17576338e-02 2.19115089e-02
 9.49488783e-03 5.34897506e-03 2.48983564e-03 1.32385486e-03
 6.69658079e-04 3.26604714e-04 1.71472479e-04 8.22303561e-05
 4.46464936e-05 2.12146959e-05 1.09928968e-05 6.34589641e-06]",1.0,4.485100507736206
1,0.5,0.0,1.0257928126876943,0.9113193786474145,1.661120641038849e-08,1.741243204067544e-07,"[1.14158513e-16 4.49158905e-16 1.57827604e-16 1.32088036e-15
 4.37865853e-04 3.16757924e-04 3.12703107e-02 8.96347511e-02
 9.06403424e-01 9.11319010e-01 9.11319641e-01 9.11319461e-01
 9.11319395e-01 9.11319398e-01 9.11319396e-01 9.11319388e-01
 9.11319383e-01 9.11319382e-01 9.11319379e-01 9.11319379e-01]",0.000633737710552638,"[0.         0.         0.         0.         0.01825716 0.01153501
 0.3142758  0.19672236 0.39928383 0.93322681 0.0150473  0.0285245
 0.15075103 0.01039986 0.00649929 0.04119593 0.00573786 0.9746223
 0.8126363  3.08426047]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.14107219e-03 3.60468965e-04 4.91055938e-03 1.53689340e-03
 1.55970245e-03 1.82270862e-03 1.46946260e-05 1.39279779e-05
 3.68044496e-05 1.26951400e-06 3.96685453e-07 1.25720006e-06
 8.75527801e-08 7.43577807e-06 3.09996145e-06 5.88275998e-06]",2.0,4.262096166610718
2,0.5,0.0,1.0257928126927858,0.9113193779316944,5.091482790930968e-12,7.157201498131371e-10,"[1.14158513e-16 4.49158905e-16 1.57827604e-16 1.32088036e-15
 4.30400408e-04 3.70427621e-04 3.02166424e-02 8.94306414e-02
 9.06280664e-01 9.11319315e-01 9.11319636e-01 9.11319480e-01
 9.11319416e-01 9.11319408e-01 9.11319397e-01 9.11319388e-01
 9.11319383e-01 9.11319380e-01 9.11319378e-01 9.11319378e-01]",0.00019266554217113702,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.59862974e-03 1.99094885e-02 1.28286636e-01 9.29438630e-02
 1.60023437e-03 1.58379964e-03 4.01127504e-04 1.07981909e-03
 3.27820934e-03 2.11708675e-03 9.84098910e-04 3.71651125e-05
 8.16110478e-05 5.12070972e-01 8.30196409e-01 2.81049883e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.99143585e-05 6.22171515e-04 2.00447869e-03 7.26123929e-04
 6.25091550e-06 3.09335867e-06 3.91726078e-07 5.27255417e-07
 8.00344078e-07 2.58433441e-07 6.00646307e-08 1.13418922e-09
 1.24528576e-09 3.90679147e-06 3.16694797e-06 5.36060111e-06]",3.0,4.330037355422974
3,0.5,0.0,1.0257928126940805,0.911319378157705,1.2947420913178576e-12,2.2601065463589975e-10,"[1.14158513e-16 4.49158905e-16 1.57827604e-16 1.32088036e-15
 4.09046703e-04 4.29835348e-04 3.03800785e-02 9.05188229e-02
 9.06316432e-01 9.11319338e-01 9.11319634e-01 9.11319480e-01
 9.11319421e-01 9.11319411e-01 9.11319397e-01 9.11319387e-01
 9.11319383e-01 9.11319380e-01 9.11319379e-01 9.11319378e-01]",5.5594220724315795e-05,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.92327868e-03 2.73090336e-02 1.34035772e-03 5.62144753e-04
 7.22909694e-05 1.96839822e-04 2.65016265e-05 1.78315415e-04
 1.92921437e-03 1.86280865e-03 3.22510995e-04 2.36113884e-06
 1.33671006e-05 3.28686002e-02 7.09285673e-01 2.55453266e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.20204918e-04 8.53407301e-04 2.09430894e-05 4.39175588e-06
 2.82386599e-07 3.84452777e-07 2.58804946e-08 8.70680735e-08
 4.70999602e-07 2.27393634e-07 1.96845090e-08 7.20562389e-11
 2.03965768e-10 2.50767519e-07 2.70571012e-06 4.87238438e-06]",4.0,5.16607141494751
4,0.5,0.0,1.0257928126936504,0.9113193787186548,4.3010039973978564e-13,5.609497311098721e-10,"[1.14158513e-16 4.49158905e-16 1.57827604e-16 1.32088036e-15
 3.72708146e-04 4.67431264e-04 3.03775831e-02 9.05347864e-02
 9.06316474e-01 9.11319342e-01 9.11319632e-01 9.11319478e-01
 9.11319424e-01 9.11319414e-01 9.11319398e-01 9.11319387e-01
 9.11319383e-01 9.11319381e-01 9.11319380e-01 9.11319379e-01]",2.858334800538708e-05,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.21728175e-03 9.38244977e-03 7.77810385e-04 2.54287572e-04
 2.61350314e-05 6.45677469e-05 7.58936086e-06 9.93294276e-05
 3.93152926e-04 1.82538999e-04 7.93629068e-06 2.95278197e-04
 4.68894616e-07 7.42760092e-01 7.72296240e-01 3.07026721e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.01080109e-04 2.93201555e-04 1.21532873e-05 1.98662166e-06
 1.02089966e-07 1.26108881e-07 7.41148522e-09 4.85006971e-08
 9.59846012e-08 2.22825926e-08 4.84392742e-10 9.01117544e-09
 7.15476403e-12 5.66680978e-06 2.94607635e-06 5.85606997e-06]",5.0,4.119880437850952
