,beta,h,logZ,magnetization,logZ_diff,magnetization_diff,magnetization_per_layer,ws_diff_total,ws_diff,ws_diff_normalized,iter,elapsed
0,0.48,0.0,0.9915243604703825,0.877522998738598,0.9915243604703825,0.877522998738598,"[1.33217752e-16 6.17135866e-16 2.54115466e-15 5.72834947e-15
 2.38528917e-03 2.58815646e-03 3.68271006e-02 1.60333908e-01
 6.15895577e-01 8.71320890e-01 8.77521194e-01 8.77523497e-01
 8.77523554e-01 8.77523214e-01 8.77523086e-01 8.77523237e-01
 8.77523116e-01 8.77523012e-01 8.77523004e-01 8.77522999e-01]",0.012006218163733522,"[0.         0.         0.         0.         1.0164482  2.1874102
 2.64668611 2.74980242 2.79248449 2.76927878 2.54361662 2.61445017
 2.61094282 2.84017417 2.78097015 2.92795094 2.99850954 3.09113656
 3.26893873 3.38475989]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.35280122e-02 6.83565689e-02 4.13544705e-02 2.14828314e-02
 1.09081425e-02 5.40874762e-03 2.48400060e-03 1.27658700e-03
 6.37437211e-04 3.46700949e-04 1.69736947e-04 8.93539716e-05
 4.57536246e-05 2.35835003e-05 1.24700116e-05 6.45591716e-06]",1.0,4.649134874343872
1,0.48,0.0,0.9915244644470175,0.8775229146173795,1.0397663496863885e-07,8.412121843548448e-08,"[1.33217752e-16 6.17135866e-16 2.54115466e-15 5.72834947e-15
 2.79530646e-04 1.97194498e-04 7.09618956e-03 1.71806927e-02
 6.65271297e-01 8.73263124e-01 8.77520899e-01 8.77524031e-01
 8.77523378e-01 8.77523121e-01 8.77523020e-01 8.77522970e-01
 8.77522933e-01 8.77522923e-01 8.77522920e-01 8.77522915e-01]",0.0004160130296477951,"[0.         0.         0.         0.         0.00521202 0.04370067
 0.19918024 0.21431876 0.15180785 0.15401468 0.02911972 0.01019283
 0.08705682 0.24432569 0.0789528  0.13284882 0.95254029 1.12336477
 1.98690919 2.6493995 ]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.25751163e-04 1.36564595e-03 3.11219122e-03 1.67436532e-03
 5.92999427e-04 3.00809912e-04 2.84372226e-05 4.97696854e-06
 2.12541071e-05 2.98249136e-05 4.81889667e-06 4.05422415e-06
 1.45346114e-05 8.57059300e-06 7.57945707e-06 5.05332851e-06]",2.0,4.260853290557861
2,0.48,0.0,0.9915244644274857,0.8775229151972022,1.953182060532299e-11,5.798226343500801e-10,"[1.33217752e-16 6.17135866e-16 2.54115466e-15 5.72834947e-15
 2.43741122e-04 2.25913279e-04 7.02269498e-03 1.75119057e-02
 6.56917608e-01 8.73323732e-01 8.77521886e-01 8.77523972e-01
 8.77523369e-01 8.77523135e-01 8.77523025e-01 8.77522970e-01
 8.77522942e-01 8.77522931e-01 8.77522922e-01 8.77522915e-01]",0.00029356100655264874,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.92248566e-03 1.75047112e-02 1.11318837e-01 2.75852844e-02
 2.68817118e-01 5.67957817e-01 3.20073664e-01 3.10145744e-01
 1.07120582e-01 1.08503916e-02 2.32770435e-02 2.28504919e-03
 3.65921464e-02 1.20037106e+00 1.69059045e+00 2.85229034e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.20155354e-04 5.47022225e-04 1.73935683e-03 2.15510034e-04
 1.05006687e-03 1.10929261e-03 3.12571938e-04 1.51438352e-04
 2.61524859e-05 1.32451070e-06 1.42071799e-06 6.97341671e-08
 5.58351844e-07 9.15810437e-06 6.44909077e-06 5.44031209e-06]",3.0,4.260841131210327
3,0.48,0.0,0.9915244644518993,0.8775229134519837,2.441369328920473e-11,1.7452184142285887e-09,"[1.33217752e-16 6.17135866e-16 2.54115466e-15 5.72834947e-15
 2.08294225e-04 2.79092640e-04 7.08767129e-03 1.77420590e-02
 6.77624083e-01 8.75046002e-01 8.77522133e-01 8.77523965e-01
 8.77523430e-01 8.77523136e-01 8.77523012e-01 8.77522968e-01
 8.77522940e-01 8.77522925e-01 8.77522921e-01 8.77522913e-01]",5.006899874788179e-05,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.19790892e-03 2.12077235e-02 3.83393610e-03 3.98983098e-03
 2.83202517e-03 6.61103781e-04 8.06917203e-04 3.33420203e-03
 5.43155963e-04 2.99725462e-02 3.28649958e-01 9.98550053e-01
 1.67421258e-02 4.20255405e-01 1.00535086e+00 3.27074783e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.48693076e-05 6.62741359e-04 5.99052516e-05 3.11705545e-05
 1.10625983e-05 1.29121832e-06 7.88005081e-07 1.62802833e-06
 1.32606436e-07 3.65875809e-06 2.00592015e-05 3.04733293e-05
 2.55464565e-07 3.20629429e-06 3.83510919e-06 6.23845639e-06]",4.0,4.482755422592163
4,0.48,0.0,0.9915244644488456,0.8775229148297636,3.0537794515339556e-12,1.3777798901770666e-09,"[1.33217752e-16 6.17135866e-16 2.54115466e-15 5.72834947e-15
 1.69270560e-04 3.22910397e-04 7.09490371e-03 1.77088839e-02
 6.77454549e-01 8.74965434e-01 8.77522033e-01 8.77523951e-01
 8.77523408e-01 8.77523133e-01 8.77523019e-01 8.77522968e-01
 8.77522942e-01 8.77522928e-01 8.77522920e-01 8.77522915e-01]",2.6419290730995765e-05,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.08904566e-03 1.13885043e-02 1.67855778e-03 3.07217585e-03
 5.11483737e-05 2.01301378e-04 2.69951240e-04 7.75045220e-05
 4.71636355e-05 6.67226759e-04 3.19836238e-04 5.07246931e-04
 3.75256972e-04 4.37985526e-02 9.95383024e-01 2.68669117e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.80653537e-05 3.55890760e-04 2.62274653e-05 2.40013738e-05
 1.99798335e-07 3.93166754e-07 2.63624258e-07 3.78440049e-08
 1.15145595e-08 8.14485790e-08 1.95212547e-08 1.54799479e-08
 5.72596698e-09 3.34156438e-07 3.79708490e-06 5.12445672e-06]",5.0,4.184896230697632
